Script started on 2025-12-26 14:23:58+07:00 [TERM="xterm-256color" TTY="/dev/pts/3" COLUMNS="141" LINES="36"]
[?2004h]0;gpm@codeby: ~/lesson4[01;32mgpm@codeby[00m:[01;34m~/lesson4[00m$ ps aux [K
[?2004lUSER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.3  24324 13976 ?        Ss   Dec25   0:04 /sbin/init
root         322  0.0  0.0      0     0 ?        I<   Dec25   0:00 [kworker/R-scsi_tmf_29]
root         323  0.0  0.0      0     0 ?        S    Dec25   0:00 [scsi_eh_30]
root         324  0.0  0.0      0     0 ?        I<   Dec25   0:00 [kworker/R-scsi_tmf_30]
root         325  0.0  0.0      0     0 ?        S    Dec25   0:00 [scsi_eh_31]
root         326  0.0  0.0      0     0 ?        I<   Dec25   0:00 [kworker/R-scsi_tmf_31]
root         355  0.0  0.0      0     0 ?        S    Dec25   0:00 [scsi_eh_32]
root         356  0.0  0.0      0     0 ?        I<   Dec25   0:00 [kworker/R-scsi_tmf_32]
root         358  0.0  0.0      0     0 ?        S    Dec25   0:10 [irq/16-vmwgfx]
root         359  0.0  0.0      0     0 ?        I<   Dec25   0:00 [kworker/R-ttm]
root         398  0.0  0.0      0     0 ?        S    Dec25   0:02 [jbd2/sda1-8]
root         399  0.0  0.0      0     0 ?        I<   Dec25   0:00 [kworker/R-ext4-rsv-conversion]
root         444  0.0  0.4  51816 18260 ?        Ss   Dec25   0:01 /usr/lib/systemd/systemd-journald
root         472  0.0  0.0 158632  1480 ?        Ssl  Dec25   0:00 vmware-vmblock-fuse /run/vmblock-fuse -o rw,subtype=vmware-vmblock,default
systemd+     476  0.0  0.1  92068  6956 ?        Ssl  Dec25   0:00 /usr/lib/systemd/systemd-timesyncd
root         483  0.0  0.2  38296 11856 ?        Ss   Dec25   0:00 /usr/lib/systemd/systemd-udevd
root         513  0.0  0.0      0     0 ?        S    Dec25   0:00 [psimon]
root         558  0.0  0.0      0     0 ?        S    Dec25   0:01 [irq/57-vmw_vmci]
root         559  0.0  0.0      0     0 ?        S    Dec25   0:00 [irq/58-vmw_vmci]
root         560  0.0  0.0      0     0 ?        S    Dec25   0:00 [irq/59-vmw_vmci]
root         620  0.0  0.0      0     0 ?        I<   Dec25   0:00 [kworker/R-cryptd]
root         822  0.0  0.1 308984  6820 ?        Ssl  Dec25   0:00 /usr/libexec/accounts-daemon
avahi        824  0.0  0.0   6252  3816 ?        Ss   Dec25   0:00 avahi-daemon: running [deb.local]
root         826  0.0  0.0   6800  2684 ?        Ss   Dec25   0:00 /usr/sbin/cron -f
message+     828  0.0  0.1  11516  7876 ?        Ss   Dec25   0:02 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --sy
root         836  0.0  0.1 304336  5788 ?        SLsl Dec25   0:00 /usr/libexec/low-memory-monitor
polkitd      837  0.0  0.2 383304 10368 ?        Ssl  Dec25   0:02 /usr/lib/polkit-1/polkitd --no-debug --log-level=notice
root         842  0.0  0.1 307912  6516 ?        Ssl  Dec25   0:00 /usr/libexec/switcheroo-control
root         844  0.0  0.2  19144  8268 ?        Ss   Dec25   0:00 /usr/lib/systemd/systemd-logind
